; LGEO Elements List
;
; For use with Lars C. Hassings L3P version x.xx and up
;
; Ldraw	LGEO	LG_Flags (L=LGEO, S=Slope, A=AntonRaves)
3359	3359	L
336	0336	L
337	0337	L
338	0338	L
339	0339	L
33ac01	0033ac01	L
33bc01	0033bc01	L
33cc01	0033cc01	L
34	0034	L
340	0340	L
3403	3403	L
3403c01	3403c01	L
3404	3404	L
34103	34103	L
3429	3429	L
3430	3430	L
3455	3455	L
3456	3456	L
3460	3460	L
3461	3461	L
3462	3462	L
3463	3463	L
3464	3464	L
3474	3474	L
3475	3475	L
3475	3475a	L
3475b	3475b	L
3479	3479	L
3481	3481	L
3482	3482	L
3483	3483	L
3496	3496	L
3496c01	3496c01	L
3496c02	3496c02	L
3497	3497	L
34	0034a	L
34b	0034b	L
34c	0034	L
34	0034d	L
35	0035	L
352	0352	L
3579	3579	L
3581	3581	L
3582	3582	L
3585	3585	L
3586	3586	L
3587	3587	L
3596	3596	L
3596d23	3596d23	L
3597	3597	L
36	0036	L
3612	3612	L
3613	3613	L
3614	3614	L
3622	3622	L
3622pz0	3622pz0	L
3623	3623	L
3624	3624	L
362626	3626	L
3626-4	362626	L
3626	3626a	L
3626ap01	3626ap01	L
3626b-4	3626b	L
3626bp01	3626bp01	L
3626bp03	3626bp03	L
3626bp04	3626bp04	L
3626bp61	3626bp61	L
3626bp62	3626bp62	L
3626bp63	3626bp63	L
3626bp65	3626bp65	L
3626bp66	3626bp66	L
3626bp67	3626bp67	L
3626bp68	3626bp68	L
3626bp69	3626bp69	L
3626bp7e	3626bp7e	L
3626bpw1	3626bpw1	L
3626c	3626	L
3629	3629	L
3633	3633	L
3634	3634	L
3639	3639	L
3640	3640	L
3641	3641	L
3645	3645	L
3647	3647	L
3648	3648	L
3648	3648a	L
3648b	3648b	L
3649	3649	L
3650	3650	L
3650	3650a	L
3650b	3650b	L
3650c	3650	L
3651	3651	L
3659	3659	L
3660	3660	LS
3660p01	3660p01	LS
3665	3665	LS
3666	3666	L
367	0367	LS
3673	3673	L
3675	3675	LS
3676	3676	LS
3678	3678	L
3678	3678a	L
3678b	3678b	L
3679	3679	L
368	0368	L
3680	3680	L
3680c01	3680c01	L
3684	3684	LS
3685	3685	LS
3688	3688	LS
369	0369	L
370	0370	L
3700	3700	L
3701	3701	L
370101	370101	L
3702	3702	L
370226	370226	L
3703	3703	L
3704	3704	L
3705	3705	L
370526	370526	L
3706	3706	L
370626	370626	L
3707	3707	L
370726	370726	L
3708	3708	L
370826	370826	L
3709	3709	L
370926	370926	L
3709	3709a	L
3709b	3709b	L
3709c	3709	L
371	0371	L
3710	3710	L
3711	3711	L
3712	3712	L
3712c01	3712c01	L
3713	3713	L
372	0372	L
3729	3729	L
373	0373	L
3730	3730	L
3731	3731	L
3736	3736	L
3737	3737	L
3738	3738	L
3739	3739	L
374	0374	L
3740	3740	LS
3741	3741	L
3742	3742	L
3743	3743	L
3747	3747	LS
3747	3747a	LS
3747b	3747b	LS
3749	3749	L
374p01	0374p01	L
374p02	0374p02	L
374p03	0374p03	L
374p04	0374p04	L
3754	3754	L
3754p01	3754p01	L
3754p02	3754p02	L
3755	3755	L
376	0376	L
3761	3761	L
3762	3762	L
3787	3787	L
3788	3788	L
3794	3794	L
379424	379424	L
3794b	3794b	L
3795	3795	L
379501	379501	L
379523	379523	L
380	0380	L
3811	3811	L
3815	3815	L
3815p63	3815p63	L
3816	3816	L
3816p63	3816p63	L
3817	3817	L
3817p63	3817p63	L
3818	3818	L
3819	3819	L
3820	3820	L
3821	3821	L
3821p01	3821p01	L
3821p03	3821p03	L
3822	3822	L
3822p01	3822p01	L
3822p03	3822p03	L
3823	3823	L
3828	3828	L
3829	3829	L
3829	3829a	L
3829b	3829b	L
3829c01	3829c01	L
3830	3830	L
3831	3831	L
3832	3832	L
383201	383201	L
3833	3833	L
3835	3835	L
3836	3836	L
3837	3837	L
3838	3838	L
3839	3839	L
3839	3839a	L
3839b	3839b	L
3840	3840	L
3841	3841	L
3842	3842a	L
3846	3846	L
3849	3849	L
3853	3853	L
3854	3854	L
3855	3855	L
3856	3856	L
3857	3857	L
386	0386	L
3861	3861	L
3865	3865	L
3867	3867	L
387	0387	L
3873	3873	L
3876	3876	L
